@pdctsha,59,53,29,15,61,24,12,38,43,4,41,69,39,58,8,14,70,2,47,51,42,33,6,67,54,28,20,63,10,13,19,26,31,37,64,68,48,71,1,60,34,25,62,27,45,21,40,9,46,52,36,56,66,17,32,16,7,3,30,50,23,18,5,11,49,57,22,35,65,55,44
@thekosek,63,48,42,66,22,28,6,41,33,19,54,56,52,46,35,24,50,38,47,13,21,53,40,14,60,5,8,49,70,30,2,55,20,16,7,10,29,26,64,18,58,59,11,34,45,44,3,62,68,37,17,71,1,9,15,51,39,23,69,36,25,32,31,4,43,27,57,12,67,61,65
@im_consuming_batteries,58,39,13,68,18,8,19,11,21,1,64,36,56,50,44,66,57,16,48,12,17,20,43,7,14,35,59,60,69,37,67,61,40,30,25,6,24,54,45,41,65,47,27,26,15,10,52,62,51,38,22,9,46,32,5,31,34,29,70,23,3,33,53,49,42,28,4,55,63,2,71
@johnny064033,59,49,25,71,43,2,24,16,34,13,57,14,8,32,20,33,66,55,51,41,21,31,56,4,61,58,45,68,70,36,52,62,26,47,30,44,35,53,12,50,54,65,29,3,17,1,7,42,38,48,6,69,63,27,23,18,46,11,67,19,22,10,5,28,37,15,60,40,64,9,39
@oliver_dalivi,64,17,56,65,18,55,60,22,29,30,19,14,6,27,12,25,26,44,23,48,3,13,39,46,32,38,5,67,71,11,68,63,28,37,8,42,43,45,10,47,58,4,59,1,31,2,40,34,36,61,35,54,69,21,7,41,9,57,70,24,49,50,15,51,62,33,53,16,66,20,52
@msgd_ghosty,67,21,3,65,39,13,45,52,24,7,55,41,35,32,20,51,61,40,44,9,8,34,26,64,49,59,10,62,70,2,14,66,31,27,11,50,17,18,60,46,48,38,22,30,12,43,5,29,69,33,68,71,54,4,37,23,1,42,57,16,56,25,6,28,15,58,47,36,63,53,19
@kanubow,63,38,11,66,10,44,67,30,26,2,56,54,33,35,52,48,49,51,60,1,4,14,65,22,62,29,20,70,69,16,57,40,31,21,25,58,5,36,53,47,43,55,45,19,8,3,12,27,39,61,32,71,64,18,7,37,28,42,68,15,34,24,6,23,17,50,9,13,46,41,59
@just_jaj,69,39,59,68,47,12,58,7,11,37,71,67,64,50,63,5,26,41,70,40,9,27,4,8,25,20,23,62,65,56,60,48,44,32,10,6,38,46,55,31,13,54,22,45,49,57,19,52,34,21,24,35,66,18,17,43,42,30,16,14,3,15,2,36,28,51,33,1,53,61,29
@idthesheep,38,33,7,58,49,40,54,22,4,9,51,10,26,45,23,53,41,68,69,67,42,48,32,34,30,37,56,70,71,5,17,57,28,19,3,44,39,46,64,35,63,27,29,21,8,31,13,59,47,20,61,66,62,12,36,6,2,25,50,18,15,14,24,52,11,16,1,55,60,65,43
@ddrenthusiast,58,57,23,68,36,70,69,37,40,43,62,18,12,11,10,48,41,9,1,2,3,4,61,24,19,39,13,60,32,34,67,46,42,17,21,25,27,54,5,55,50,26,38,7,14,49,51,59,56,44,16,71,66,28,53,47,6,64,65,20,35,15,22,8,31,45,29,30,63,33,52
@anthonymemedrano,27,30,7,53,2,37,61,48,28,3,62,63,69,34,59,36,66,51,57,43,21,23,49,20,60,55,13,68,71,32,64,31,18,1,19,12,26,45,67,47,25,42,5,22,10,11,46,16,56,40,50,44,65,39,8,29,33,24,58,4,52,35,6,9,17,38,54,14,41,15,70
@_baconpancake_,50,37,70,69,9,28,62,1,2,58,52,26,45,22,15,40,46,64,59,17,7,8,43,16,51,25,38,47,66,18,48,54,12,68,4,60,11,61,42,44,65,21,32,30,3,13,24,20,55,27,29,71,67,6,14,33,5,31,57,39,49,19,23,35,36,56,10,41,34,63,53
@satsuki4,8,11,69,61,21,5,14,41,64,9,71,63,60,10,23,15,39,52,66,27,16,13,28,55,35,18,67,57,4,20,1,7,17,22,33,42,24,43,65,70,49,36,50,30,40,12,26,3,19,25,31,53,2,46,29,54,62,51,38,47,32,58,68,56,45,37,44,6,34,48,59
